Dates,QQQ,VIX,VVIX
2019-03-01 18:30:00,174.61,13.86,78.03
2019-03-01 19:30:00,174.33,13.63,78.66
2019-03-01 20:30:00,174.44,13.57,79.27
2019-03-04 14:30:00,175.49,13.59,78.49
2019-03-04 15:30:00,174.1,14.29,82.21
2019-03-04 16:30:00,172.93,15.75,89.38
2019-03-04 17:30:00,173.5,16.97,86.34
2019-03-04 18:30:00,173.95,15.47,84.14
2019-03-04 19:30:00,173.9,15.19,83.88
2019-03-04 20:30:00,174.45,14.61,82.34
2019-03-05 14:30:00,174.14,14.98,84.35
2019-03-05 15:30:00,174.64,14.95,82.73
2019-03-05 16:30:00,174.58,14.82,82.47
2019-03-05 17:30:00,174.51,14.42,82.42
2019-03-05 18:30:00,174.8,14.64,81.53
2019-03-05 19:30:00,174.87,14.46,82.2
2019-03-05 20:30:00,174.54,14.75,82.46
2019-03-06 14:30:00,173.94,14.97,84.15
2019-03-06 15:30:00,173.8,15.03,84.7
2019-03-06 16:30:00,173.55,15.26,86.32
2019-03-06 17:30:00,173.38,16.09,87.26
2019-03-06 18:30:00,173.79,15.28,85.13
2019-03-06 19:30:00,173.44,15.47,86.24
2019-03-06 20:30:00,173.52,15.69,86.1
2019-03-07 14:30:00,171.78,17.01,90.81
2019-03-07 15:30:00,172.01,16.91,89.4
2019-03-07 16:30:00,172.33,16.49,88.38
2019-03-07 17:30:00,172.22,16.03,87.78
2019-03-07 18:30:00,171.59,16.76,89.42
2019-03-07 19:30:00,170.955,17.36,90.37
2019-03-07 20:30:00,171.43,16.63,88.7
2019-03-08 14:30:00,170.07,17.99,92.8
2019-03-08 15:30:00,170.59,17.7,91.07
2019-03-08 16:30:00,170.09,17.56,91.49
2019-03-08 17:30:00,169.95,17.74,91.87
2019-03-08 18:30:00,170.31,17.14,90.33
2019-03-08 19:30:00,170.41,16.6,89.52
2019-03-08 20:30:00,171.19,16.09,87.24
2019-03-11 13:30:00,173.31,15.35,83.62
2019-03-11 14:30:00,173.94,14.77,83.22
2019-03-11 15:30:00,174.17,14.54,82.34
2019-03-11 16:30:00,174.42,14.52,82.61
2019-03-11 17:30:00,174.41,14.5,82.25
2019-03-11 18:30:00,174.71,14.53,81.93
2019-03-11 19:30:00,174.74,14.37,81.23
2019-03-12 13:30:00,175.37,14.06,82.38
2019-03-12 14:30:00,175.45,13.7,82.52
2019-03-12 15:30:00,176.05,13.83,81.9
2019-03-12 16:30:00,175.9,13.78,82.01
2019-03-12 17:30:00,175.78,13.69,82.93
2019-03-12 18:30:00,175.56,13.82,83.06
2019-03-12 19:30:00,175.7,13.77,83.06
2019-03-13 13:30:00,176.57,13.42,81.58
2019-03-13 14:30:00,177.59,13.36,81.27
2019-03-13 15:30:00,177.36,13.53,82.19
2019-03-13 16:30:00,177.49,13.52,82.95
2019-03-13 17:30:00,177.74,13.54,83.16
2019-03-13 18:30:00,177.26,13.75,83.72
2019-03-13 19:30:00,177.02,13.46,82.76
2019-03-14 13:30:00,176.95,13.82,83.29
2019-03-14 14:30:00,176.92,13.4,82.48
2019-03-14 15:30:00,177.07,13.28,82.43
2019-03-14 16:30:00,177.1,13.38,82.59
2019-03-14 17:30:00,176.98,13.6,82.88
2019-03-14 18:30:00,176.83,13.28,82.68
2019-03-14 19:30:00,176.73,13.47,82.56
2019-03-15 13:30:00,178.01,12.99,81.93
2019-03-15 14:30:00,178.23,12.82,80.57
2019-03-15 15:30:00,178.7,12.51,81.25
2019-03-15 16:30:00,178.61,12.71,82.57
2019-03-15 17:30:00,178.66,12.83,82.32
2019-03-15 18:30:00,178.48,12.87,83.12
2019-03-15 19:30:00,178.27,12.94,82.94
2019-03-18 13:30:00,178.74,13.23,84.08
2019-03-18 14:30:00,178.08,13.27,85.64
2019-03-18 15:30:00,177.8,13.79,85.32
2019-03-18 16:30:00,178.06,13.16,85.1
2019-03-18 17:30:00,178.305,13.18,85.4
2019-03-18 18:30:00,178.21,13.13,84.83
2019-03-18 19:30:00,178.41,13.11,85.52
2019-03-19 13:30:00,179.03,12.85,85.82
2019-03-19 14:30:00,179.42,12.91,85.0
2019-03-19 15:30:00,179.72,12.97,85.6
2019-03-19 16:30:00,179.51,13.45,86.0
2019-03-19 17:30:00,179.505,13.22,86.74
2019-03-19 18:30:00,178.8,13.22,86.8
2019-03-19 19:30:00,179.05,13.64,87.36
2019-03-20 13:30:00,178.97,14.07,88.73
2019-03-20 14:30:00,179.05,13.82,86.94
2019-03-20 15:30:00,178.84,13.97,87.73
2019-03-20 16:30:00,178.6,13.95,88.24
2019-03-20 17:30:00,180.64,13.49,86.06
2019-03-20 18:30:00,180.19,13.33,85.43
2019-03-20 19:30:00,179.79,13.86,86.63
2019-03-21 13:30:00,180.81,13.74,84.67
2019-03-21 14:30:00,181.18,13.88,84.68
2019-03-21 15:30:00,181.27,13.45,83.86
2019-03-21 16:30:00,181.75,13.35,82.94
2019-03-21 17:30:00,182.48,13.44,82.77
2019-03-21 18:30:00,182.53,13.43,83.09
2019-03-21 19:30:00,182.55,13.65,83.89
2019-03-22 13:30:00,181.16,15.04,89.43
2019-03-22 14:30:00,180.21,15.8,94.48
2019-03-22 15:30:00,179.39,16.86,101.9
2019-03-22 16:30:00,179.29,16.27,98.86
2019-03-22 17:30:00,179.61,16.12,94.77
2019-03-22 18:30:00,179.19,15.75,96.22
2019-03-22 19:30:00,178.49,16.37,98.5
2019-03-25 13:30:00,177.46,17.54,100.98
2019-03-25 14:30:00,178.68,16.75,96.77
2019-03-25 15:30:00,178.29,16.72,97.51
2019-03-25 16:30:00,177.71,16.89,97.97
2019-03-25 17:30:00,177.29,17.4,100.77
2019-03-25 18:30:00,178.34,16.83,98.11
2019-03-25 19:30:00,178.24,16.43,97.2
2019-03-26 13:30:00,180.0,15.19,90.87
2019-03-26 14:30:00,179.85,14.79,89.83
2019-03-26 15:30:00,179.36,15.05,91.33
2019-03-26 16:30:00,179.31,15.38,91.15
2019-03-26 17:30:00,178.41,15.56,92.13
2019-03-26 18:30:00,178.31,15.06,91.67
2019-03-26 19:30:00,179.05,14.75,89.85
2019-03-27 13:30:00,179.3,15.15,89.68
2019-03-27 14:30:00,177.37,15.6,94.92
2019-03-27 15:30:00,177.39,16.08,94.52
2019-03-27 16:30:00,177.995,15.94,93.05
2019-03-27 17:30:00,177.95,15.49,92.57
2019-03-27 18:30:00,178.1,15.6,91.96
2019-03-27 19:30:00,178.0,15.19,91.34
2019-03-28 13:30:00,178.6,14.57,87.24
2019-03-28 14:30:00,177.31,15.18,89.57
2019-03-28 15:30:00,177.77,15.35,89.52
2019-03-28 16:30:00,178.34,14.86,88.47
2019-03-28 17:30:00,178.2,14.85,88.78
2019-03-28 18:30:00,178.26,14.76,88.48
2019-03-28 19:30:00,178.34,14.43,87.95
2019-03-29 13:30:00,179.47,13.73,85.9
2019-03-29 14:30:00,179.42,13.96,86.66
2019-03-29 15:30:00,179.29,14.04,86.53
2019-03-29 16:30:00,179.27,14.15,87.21
2019-03-29 17:30:00,179.515,14.02,86.09
2019-03-29 18:30:00,179.47,13.86,86.04
2019-03-29 19:30:00,179.73,13.72,85.82
2019-04-01 13:30:00,181.09,13.92,86.63
2019-04-01 14:30:00,181.64,13.59,85.92
2019-04-01 15:30:00,181.54,13.8,85.19
2019-04-01 16:30:00,181.83,13.67,84.63
2019-04-01 17:30:00,181.94,13.62,85.47
2019-04-01 18:30:00,182.07,13.77,85.46
2019-04-01 19:30:00,182.13,13.44,84.93
2019-04-02 13:30:00,182.48,13.46,83.35
2019-04-02 14:30:00,182.31,13.64,84.07
2019-04-02 15:30:00,182.29,13.33,83.88
2019-04-02 16:30:00,182.53,13.36,83.27
2019-04-02 17:30:00,182.58,13.27,82.39
2019-04-02 18:30:00,182.81,13.22,82.22
2019-04-02 19:30:00,182.73,13.34,83.28
2019-04-03 13:30:00,184.05,13.39,82.69
2019-04-03 14:30:00,184.63,13.37,82.72
2019-04-03 15:30:00,184.69,13.31,82.84
